trial_number,duration_seconds,label,first_file,second_file,cosine_similarity
1,3,1,id10270/x6uYqmx31kE/00001.wav,id10270/GWXujl-xAVM/00017.wav,0.4484420716762543
2,3,0,id10270/x6uYqmx31kE/00002.wav,id10307/kp_GCjLq4qA/00004.wav,-4.3798238039016724e-05
3,3,0,id10270/x6uYqmx31kE/00003.wav,id10300/SQzWyPhRqmk/00012.wav,-0.006051585078239441
4,3,0,id10270/x6uYqmx31kE/00004.wav,id10286/isKyMAYUOgg/00012.wav,0.16758808493614197
5,3,0,id10270/x6uYqmx31kE/00005.wav,id10278/LVXvQzNatXI/00001.wav,0.02629050984978676
6,3,0,id10270/x6uYqmx31kE/00005.wav,id10295/3tvnlmkCiTw/00008.wav,0.10589053481817245
7,3,0,id10270/5r0dWxy17C8/00001.wav,id10292/gm6PJowclv0/00027.wav,-0.10719291120767593
8,3,0,id10270/5r0dWxy17C8/00001.wav,id10309/0cYFdtyWVds/00002.wav,-0.05111146718263626
9,3,0,id10270/5r0dWxy17C8/00002.wav,id10309/e-IdJ8a4gy4/00009.wav,0.021158868446946144
10,3,0,id10270/5r0dWxy17C8/00002.wav,id10283/vaK4t1-WD4M/00017.wav,-0.0709332674741745
11,3,0,id10270/5r0dWxy17C8/00004.wav,id10298/VHtcwtdPjpE/00002.wav,-0.01608915999531746
12,3,0,id10270/5r0dWxy17C8/00006.wav,id10286/isKyMAYUOgg/00007.wav,0.000758681446313858
13,3,1,id10270/5r0dWxy17C8/00007.wav,id10270/5r0dWxy17C8/00027.wav,0.5569145679473877
14,3,1,id10270/5r0dWxy17C8/00008.wav,id10270/GWXujl-xAVM/00012.wav,0.6473375558853149
15,3,0,id10270/5r0dWxy17C8/00008.wav,id10298/DWT9P35cXT4/00007.wav,0.1417192667722702
16,3,0,id10270/5r0dWxy17C8/00009.wav,id10305/nJbBcMdxQU4/00006.wav,-0.016536466777324677
17,3,0,id10270/5r0dWxy17C8/00009.wav,id10273/eLl_yTeuaKo/00024.wav,-0.14144858717918396
18,3,0,id10270/5r0dWxy17C8/00010.wav,id10281/RDFdX3VxjUQ/00008.wav,-0.09584590792655945
19,3,1,id10270/5r0dWxy17C8/00010.wav,id10270/GWXujl-xAVM/00013.wav,0.5431222915649414
20,3,0,id10270/5r0dWxy17C8/00012.wav,id10306/C3AhSlYJd3w/00007.wav,0.07017882168292999
21,3,0,id10270/5r0dWxy17C8/00012.wav,id10300/8EDKH42GZ1o/00027.wav,0.018802955746650696
22,3,1,id10270/5r0dWxy17C8/00012.wav,id10270/GWXujl-xAVM/00027.wav,0.5815666317939758
23,3,1,id10270/5r0dWxy17C8/00013.wav,id10270/8jEAjG6SegY/00007.wav,0.6030978560447693
24,3,0,id10270/5r0dWxy17C8/00013.wav,id10281/RDFdX3VxjUQ/00007.wav,0.036292485892772675
25,3,0,id10270/5r0dWxy17C8/00014.wav,id10288/JzNVSA7eFwc/00003.wav,-0.06488142907619476
26,3,0,id10270/5r0dWxy17C8/00014.wav,id10276/CAhGBfTmCHw/00003.wav,-0.07083463668823242
27,3,1,id10270/5r0dWxy17C8/00016.wav,id10270/GWXujl-xAVM/00037.wav,0.5934993028640747
28,3,0,id10270/5r0dWxy17C8/00016.wav,id10281/RDFdX3VxjUQ/00004.wav,0.06384899467229843
29,3,0,id10270/5r0dWxy17C8/00017.wav,id10284/7yx9A0yzLYk/00043.wav,0.10206250846385956
30,3,0,id10270/5r0dWxy17C8/00017.wav,id10283/r9-0pljhZqs/00012.wav,-0.16220428049564362
31,3,0,id10270/5r0dWxy17C8/00019.wav,id10290/VYk_DxNl_T8/00001.wav,-0.045569226145744324
32,3,1,id10270/5r0dWxy17C8/00020.wav,id10270/GWXujl-xAVM/00037.wav,0.3423649072647095
33,3,0,id10270/5r0dWxy17C8/00020.wav,id10281/RDFdX3VxjUQ/00026.wav,-0.13354331254959106
34,3,1,id10270/5r0dWxy17C8/00020.wav,id10270/GWXujl-xAVM/00050.wav,0.38118976354599
35,3,0,id10270/5r0dWxy17C8/00020.wav,id10282/neQO6_CUY4w/00003.wav,0.012745779007673264
36,3,0,id10270/5r0dWxy17C8/00021.wav,id10283/oGZsanLiXsY/00002.wav,-0.07998210191726685
37,3,0,id10270/5r0dWxy17C8/00021.wav,id10291/uiBjIKX_0l8/00002.wav,-0.15239207446575165
38,3,0,id10270/5r0dWxy17C8/00021.wav,id10283/vaK4t1-WD4M/00025.wav,0.037783995270729065
39,3,1,id10270/5r0dWxy17C8/00022.wav,id10270/8jEAjG6SegY/00007.wav,0.5995351672172546
40,3,0,id10270/5r0dWxy17C8/00022.wav,id10284/7yx9A0yzLYk/00024.wav,0.1808209866285324
41,3,0,id10270/5r0dWxy17C8/00025.wav,id10290/dDnqp9503Mg/00006.wav,-0.04515419527888298
42,3,1,id10270/5r0dWxy17C8/00025.wav,id10270/GWXujl-xAVM/00034.wav,0.5737729072570801
43,3,1,id10270/5r0dWxy17C8/00026.wav,id10270/x6uYqmx31kE/00004.wav,0.5188744068145752
44,3,0,id10270/5r0dWxy17C8/00027.wav,id10289/fGlKVvjgUdY/00006.wav,-0.014956090599298477
45,3,0,id10270/5r0dWxy17C8/00027.wav,id10299/IwB3vu418E4/00008.wav,0.02972527965903282
46,3,1,id10270/5r0dWxy17C8/00027.wav,id10270/GWXujl-xAVM/00034.wav,0.6689010262489319
47,3,1,id10270/5sJomL_D0_g/00001.wav,id10270/5r0dWxy17C8/00027.wav,0.471163272857666
48,3,1,id10270/5sJomL_D0_g/00002.wav,id10270/GWXujl-xAVM/00001.wav,0.5468951463699341
